PlayerPos,ObstacleXPos,ObstacleY,CoinXPos,CoinYPos,ObstacleNear
373.8,362,400.4,374,513,0
411.6,362,500.4,374,638,0
412.2,362,600.4,374,763,1
411.6,362,670,374,850,1
411.6,362,700.4,193,-12,1
411.6,362,850.8,193,175,1
192.6,585,388.21,193,722.42,0
183.6,585,400.36,177,-34.85,0
177,585,600.43,177,214.62,1
177.6,585,700.06,177,338.85,1
177.6,585,850.72,177,525.7,1
177.6,284,107.44,177,722.56,0
391.8,284,400.18,489,314.14,0
465,284,500.22,489,438.58,0
489,284,600.26,489,563.02,1
489,284,700.3,489,687.46,1
489,284,728.18,489,722.14,1
399.6,284,850.36,188,100.96,1
187.8,400,400.69,188,661.28,0
188.4,400,449.66,188,722.05,0
225,400,500.29,564,12.83,0
352.8,400,700.32,564,261.06,1
353.4,400,850.55,564,446.46,1
563.4,370,275.92,564,851.02,0
474.6,370,400.24,209,103.92,0
416.4,370,500.2,209,227.68,0
415.8,370,600.16,209,351.44,1
416.4,370,700.12,209,475.2,1
415.8,370,850.48,209,660.32,1
307.8,616,103,209,850.37,0
258.6,616,400.5,258,317.5,0
258,616,600.25,258,564.25,1
258,616,700.55,258,688.15,1
258.6,616,728.6,258,722.8,1
306,616,850.15,306,99.1,1
306,620,400.64,306,655.6,0
306.6,620,454.82,306,722.38,0
338.4,620,500.4,436,6.18,0
408,620,600.16,436,129.14,1
436.2,620,850.42,436,436.54,1
436.2,335,181.42,436,722.23,0
585,335,400.66,585,219.64,0
585,335,809.56,585,722.54,1
556.8,335,850.45,196,-0.78,1
249.6,341,400.56,196,553.26,0
196.2,341,538.72,196,722.82,0
238.2,341,600.32,534,25.6,1
299.4,341,700.64,534,148.72,1
299.4,341,850.24,534,331.24,1
517.2,338,273.07,534,728,0
431.4,338,400.34,233,105.87,0
378.6,338,500.02,233,227.95,0
379.2,338,600.59,233,351.12,1
379.2,338,700.27,233,473.2,1
378.6,338,850.68,233,656.32,1
273,451,108.4,233,851.02,0
490.8,451,600.7,474,551.7,1
491.4,451,700.6,474,673.8,1
490.8,451,744.7,474,727.7,1
490.8,451,850.9,446,78.7,1
445.8,281,400.45,446,629.26,0
445.8,281,476.89,446,722.5,0
430.2,281,500.55,202,-21.14,0
364.2,281,600.65,202,100.96,1
320.4,281,850.9,202,405.1,1
201.6,609,209.44,202,722.06,0
217.2,609,500.16,217,303.92,0
216.6,609,600.44,217,426,1
217.2,609,844.24,217,722.8,1
221.4,609,850.68,451,-43.28,1
450.6,598,400.12,451,504.77,0
450.6,598,500.56,451,626.81,0
451.2,598,579.61,451,722.86,0
464.4,598,600.07,489,-25.14,1
488.4,598,700.51,489,96.9,1
489,598,850.24,489,277.7,1
488.4,322,315.66,489,722.3,0
542.4,322,400.26,598,52.6,0
598.2,322,600.48,598,295.42,1
598.2,322,700.12,598,416.26,1
598.2,322,850.52,598,597.52,1
598.2,199,52.6,598,722.87,0
378.6,199,400.3,374,370.9,0
374.4,199,500.05,374,491.65,0
373.8,199,691,374,722.8,1
379.8,199,700.5,585,-38.5,1
474.6,199,850.6,585,142.05,1
584.4,330,400.24,585,687.25,0
584.4,330,429.04,585,722.05,0
540,330,500.08,470,35.84,0
469.8,330,850.48,470,458.08,1
470.4,339,168.25,470,722.5,0
403.8,339,400.08,404,229.63,0
404.4,339,808.45,404,722.2,1
378.6,339,850.16,255,-0.86,1
255,416,549.76,255,722.48,0
347.4,416,700.68,352,131.72,1
351.6,416,850.62,352,311.08,1
352.2,596,291.55,352,722.82,0
286.2,596,400.45,267,80.9,0
267.6,596,500.44,267,201.09,0
267,596,600.43,267,321.28,1
267.6,596,700.42,267,441.47,1
267.6,596,850.9,267,621.16,1
267.6,620,34,267,723.16,0
487.2,620,400,507,389.2,0
506.4,620,500,507,509.2,0
506.4,620,600,507,629.2,1
506.4,620,678,507,722.8,1
504,620,700,504,-23.6,1
504,620,850,504,155.2,1
504,425,400.46,504,696.07,0
504,425,422.68,504,722.69,0
457.8,425,500.45,433,43.17,0
453.6,425,600.44,433,162.96,1
454.2,425,700.43,433,282.75,1
453.6,425,850.92,433,461.83,1
432.6,505,167.26,433,722.91,0
355.2,505,812.92,355,722.26,1
377.4,505,850.66,495,-6.08,1
494.4,309,400.11,495,532.66,0
495,309,500.02,495,651.97,0
494.4,309,558.73,495,722.08,0
539.4,309,850.22,540,296.86,1
539.4,325,305.68,540,722.18,0
484.8,325,400.32,429,62.84,0
428.4,325,500.16,429,181.88,0
428.4,325,600,429,300.92,1
429,325,850.64,429,598.52,1
429,382,52.9,429,722.27,0
534,382,400.45,534,363.75,0
533.4,382,500.2,534,482.5,0
533.4,382,701.8,534,722.5,1
618.6,382,850.9,622,126.25,1
621.6,218,400.5,622,663.01,0
622.2,218,450.32,622,722.23,0
594,218,500.14,313,9.22,0
480.6,218,700.48,313,247.36,1
395.4,218,851,313,425.02,1
313.2,206,199.31,313,722.2,0
284.4,206,400.47,284,188.76,0
283.8,206,600.56,284,426.25,1
284.4,206,700.07,284,544.36,1
284.4,206,849.87,284,722.16,1
285,206,850.94,542,-50,1
535.2,566,400.36,542,485.04,0
541.8,566,600.16,542,721.84,1
542.4,566,601.24,542,723.12,1
487.2,566,700.6,473,67.76,1
473.4,566,850.72,473,244.4,1
473.4,600,353.3,473,722.99,0
447.6,600,400.17,302,5.47,0
